campaign_type,roi
Influencer,4.99
Search,7.66
Social Media,4.14
Influencer,3.92
Social Media,7.34
Display,4.39
Display,2.59
Influencer,4.16
Search,4.25
Social Media,2.15
Display,5.82
Email,5.59
Email,6.59
Email,7.77
Display,7.41
Email,4.13
Email,5.55
Social Media,4.63
Influencer,7.59
Social Media,2.40
Search,3.75
Influencer,5.40
Email,6.38
Social Media,3.44
Email,3.46
Email,4.05
Social Media,4.28
Search,3.00
Influencer,4.45
Social Media,7.73
Social Media,7.57
Social Media,3.59
Social Media,7.14
Email,5.13
Influencer,3.57
Influencer,3.75
Social Media,7.61
Display,3.37
Email,6.94
Search,3.96
Search,5.66
Influencer,2.18
Social Media,4.27
Social Media,4.75
Social Media,4.65
Email,6.87
Display,5.75
Influencer,3.42
Email,3.53
Email,3.44
Social Media,6.74
Influencer,7.55
Email,2.27
Search,2.81
Search,7.76
Email,6.17
Display,3.98
Social Media,2.97
Email,6.26
Display,5.83
Influencer,4.06
Display,4.46
Search,2.60
Social Media,7.14
Influencer,3.16
Email,6.47
Social Media,6.05
Display,5.55
Email,2.92
Search,2.15
Social Media,7.69
Display,4.87
Display,3.14
Influencer,2.15
Search,7.91
Social Media,4.64
Search,5.32
Display,6.78
Email,5.68
Display,6.43
Influencer,7.14
Search,7.97
Email,4.98
Influencer,4.40
Search,2.32
Social Media,5.34
Email,6.55
Social Media,4.40
Email,2.76
Display,4.39
Email,6.60
Search,4.21
Display,6.99
Display,5.50
Email,4.73
Social Media,2.05
Display,7.34
Email,7.25
Search,3.46
Display,3.46
Social Media,6.26
Influencer,2.63
Social Media,5.06
Email,5.70
Display,3.44
Social Media,4.88
Search,7.68
Search,2.55
Influencer,2.64
Influencer,7.39
Influencer,4.90
Search,7.13
Search,5.10
Email,5.82
Influencer,3.56
Influencer,4.69
Search,4.09
Social Media,3.76
Email,5.87
Influencer,4.19
Social Media,7.41
Influencer,5.72
Email,3.16
Search,4.37
Search,6.29
Influencer,3.92
Email,5.81
Display,3.59
Email,5.15
Social Media,3.17
Display,2.64
Social Media,6.53
Influencer,2.75
Influencer,6.95
Email,6.05
Social Media,7.11
Email,2.26
Display,6.81
Social Media,7.00
Email,4.71
Email,2.82
Influencer,3.83
Search,5.48
Email,5.56
Influencer,4.04
Influencer,2.47
Search,4.65
Influencer,6.57
Search,3.10
Email,7.03
Influencer,6.93
Search,4.15
Display,7.63
Email,6.35
Display,7.56
Social Media,3.55
Social Media,6.42
Email,4.32
Social Media,7.85
Display,2.35
Display,6.74
Search,5.04
Influencer,6.07
Display,3.98
Search,3.22
Influencer,5.80
Social Media,4.79
Social Media,3.49
Search,7.42
Email,2.56
Social Media,5.92
Email,5.04
Email,2.50
Email,3.58
Display,2.56
Social Media,7.07
Display,7.92
Email,7.77
Search,7.67
Influencer,3.85
Social Media,5.97
Search,6.03
Display,4.97
Social Media,4.91
Social Media,7.31
Influencer,6.81
Display,4.98
Search,3.31
Search,5.85
Display,7.17
Social Media,7.86
Search,5.41
Influencer,4.77
Social Media,3.23
Email,7.54
Search,2.24
Influencer,5.21
Search,6.44
Search,6.68
Email,5.05
Search,5.86
Influencer,3.28
Search,6.11
Display,5.55
Search,5.67
Influencer,5.04
Social Media,7.88
Search,6.26
Email,2.29
Search,6.46
Email,2.79
Display,3.61
Email,2.02
Influencer,5.79
Search,7.89
Influencer,6.12
Email,7.26
Email,3.57
Influencer,5.65
Email,2.81
Email,7.85
Influencer,5.29
Email,7.44
Social Media,5.89
Influencer,3.57
Display,3.10
Email,4.82
Email,3.12
Influencer,4.87
Influencer,7.42
Influencer,6.38
Display,2.18
Influencer,6.53
Display,4.64
Search,4.75
Search,4.53
Email,2.84
Email,6.38
Social Media,6.35
Social Media,6.76
Social Media,7.03
Influencer,5.76
Display,2.87
Email,5.45
Display,2.21
Email,3.70
Email,7.54
Social Media,7.66
Influencer,2.55
Influencer,5.03
Search,6.02
Social Media,5.97
Search,3.97
Display,7.05
Email,5.27
Email,6.38
Email,6.20
Social Media,2.71
Display,7.83
Social Media,5.47
Email,7.00
Influencer,4.47
Display,2.43
Influencer,3.87
Social Media,5.08
Influencer,5.38
Influencer,6.01
Social Media,6.70
Social Media,2.01
Social Media,2.94
Social Media,6.45
Search,7.84
Email,3.20
Search,6.98
Search,6.70
Social Media,5.86
Display,5.01
Email,6.85
Email,3.95
Social Media,7.52
Display,3.10
Influencer,6.68
Influencer,6.01
Search,6.66
Display,7.12
Influencer,6.58
Social Media,3.89
Influencer,7.01
Email,4.04
Email,7.54
Social Media,3.07
Social Media,5.25
Search,3.12
Search,6.47
Social Media,7.06
Email,4.96
Email,6.12
Influencer,2.43
Influencer,2.67
Email,4.76
Social Media,5.63
Search,2.46
Email,4.25
Search,4.41
Search,4.18
Search,3.55
Email,7.04
Social Media,4.22
Influencer,3.65
Social Media,5.29
Social Media,3.83
Influencer,4.71
Email,6.04
Social Media,4.20
Influencer,2.65
Email,6.62
Email,4.56
Display,7.53
Display,4.40
Social Media,7.75
Search,2.75
Email,4.14
Influencer,4.06
Influencer,7.88
Influencer,6.77
Search,3.91
Social Media,2.91
Influencer,5.04
Email,2.39
Influencer,5.46
Social Media,5.40
Display,4.84
Social Media,7.28
Influencer,5.30
Search,7.09
Influencer,7.43
Email,3.84
Influencer,2.13
Influencer,4.74
Display,7.83
Social Media,4.62
Influencer,3.16
Email,4.19
Influencer,5.73
Social Media,3.63
Influencer,4.22
Email,2.06
Influencer,3.27
Social Media,5.67
Social Media,7.25
Influencer,7.18
Search,6.61
Display,4.88
Social Media,2.92
Social Media,5.83
Social Media,7.21
Search,5.59
Search,4.46
Influencer,4.50
Social Media,2.20
Display,4.22
Display,5.39
Email,2.41
Social Media,7.96
Influencer,3.24
Display,6.70
Influencer,5.01
Influencer,3.05
Display,3.85
Social Media,4.97
Social Media,5.85
Influencer,4.42
Display,4.52
Email,5.30
Social Media,4.57
Display,6.41
Email,7.76
Email,2.19
Display,7.12
Influencer,7.14
Influencer,3.37
Display,5.73
Display,3.53
Search,7.78
Influencer,2.28
Social Media,2.42
Influencer,4.38
Search,4.28
Display,5.92
Influencer,6.62
Social Media,5.65
Social Media,6.04
Display,3.25
Email,4.06
Search,4.80
Display,3.51
Search,6.56
Email,3.53
Influencer,6.78
Influencer,6.81
Social Media,2.91
Email,6.02
Display,4.18
Influencer,4.87
Search,4.88
Influencer,5.67
Email,5.06
Display,5.28
Email,7.65
Search,6.02
Social Media,2.34
Influencer,2.50
Influencer,7.95
Influencer,4.55
Influencer,6.85
Display,5.01
Display,3.51
Search,6.19
Display,5.73
Influencer,6.72
Social Media,5.39
Influencer,3.66
Social Media,4.29
Display,2.01
Influencer,5.65
Email,7.84
Display,6.73
Email,3.20
Display,2.54
Search,2.78
Influencer,3.52
Influencer,5.33
Email,6.86
Display,5.99
Influencer,4.48
Influencer,4.27
Influencer,7.26
Search,3.25
Email,7.18
Social Media,5.65
Influencer,4.12
Display,5.76
Search,6.34
Social Media,2.63
Social Media,3.19
Email,3.59
Display,3.09
Display,7.29
Display,7.87
Display,6.36
Search,7.36
Influencer,2.33
Influencer,6.26
Display,5.76
Social Media,4.19
Search,6.88
Search,4.31
Social Media,7.38
Email,7.82
Social Media,5.69
Display,2.96
Search,5.43
Display,6.95
Influencer,4.15
Email,2.64
Social Media,4.41
Display,3.12
Search,4.49
Influencer,3.45
Display,7.65
Display,5.01
Social Media,7.82
Display,2.62
Email,4.14
Search,5.54
Search,4.27
Influencer,7.52
Email,4.55
Search,4.95
Email,3.34
Email,2.79
Search,2.65
Search,7.54
Social Media,6.06
Influencer,7.60
Social Media,6.06
Search,7.74
Influencer,4.75
Display,2.36
Influencer,2.79
Social Media,4.26
Influencer,5.06
Social Media,7.67
Influencer,4.67
Email,3.86
Influencer,7.70
Display,6.57
Email,7.02
Influencer,3.24
Search,7.70
Influencer,7.44
Display,4.70
Email,6.05
Social Media,5.58
Display,6.63
Email,3.51
Social Media,2.02
Influencer,5.44
Email,2.96
Influencer,2.46
Search,2.89
Email,6.68
Email,5.52
Influencer,2.80
Search,2.70
Display,6.98
Search,3.12
Display,7.62
Social Media,4.40
Social Media,4.72
Influencer,7.65
Search,6.51
Influencer,2.67
Display,2.78
Influencer,7.49
Influencer,5.07
Influencer,4.51
Influencer,6.57
Social Media,2.08
Influencer,2.38
Display,3.29
Social Media,5.15
Influencer,5.68
Search,3.79
Display,5.57
Social Media,3.09
Email,5.26
Social Media,4.75
Search,3.67
Display,2.56
Social Media,2.04
Social Media,5.51
Influencer,5.17
Display,5.32
Social Media,7.73
Display,6.39
Email,4.51
Search,5.42
Social Media,4.89
Email,5.32
Influencer,6.31
Email,3.48
Social Media,7.29
Display,2.55
Email,3.05
Influencer,6.50
Influencer,2.38
Email,7.37
Email,3.70
Display,6.21
Display,5.84
Display,7.64
Search,2.43
Influencer,5.67
Email,3.57
Display,6.59
Social Media,2.16
Display,5.48
Display,4.33
Influencer,3.00
Display,3.30
Search,7.48
Display,2.48
Display,5.13
Influencer,4.75
Email,3.13
Social Media,7.95
Display,7.98
Display,5.32
Search,5.06
Influencer,5.87
Social Media,6.90
Influencer,2.78
Social Media,3.11
Email,5.90
Display,4.77
Social Media,2.71
Influencer,5.00
Search,7.47
Display,4.65
Email,5.41
Social Media,4.01
Influencer,5.25
Social Media,4.33
Social Media,3.70
Social Media,5.41
Display,2.55
Search,6.36
Search,3.67
Email,5.83
Search,4.68
Influencer,4.84
Display,2.24
Search,7.57
Email,3.07
Influencer,5.44
Influencer,6.98
Social Media,6.89
Display,5.77
Display,3.09
Display,6.41
Display,3.87
Influencer,6.00
Influencer,5.39
Search,5.90
Influencer,6.71
Social Media,2.13
Search,4.72
Search,5.10
Social Media,3.47
Display,4.08
Display,3.58
Social Media,7.42
Display,5.29
Influencer,6.33
Display,3.27
Social Media,7.27
Search,3.19
Influencer,2.39
Search,4.17
Email,2.81
Email,2.39
Influencer,2.99
Influencer,4.79
Search,5.39
Search,4.27
Display,2.18
Email,4.99
Email,4.24
Influencer,3.10
Social Media,4.82
Influencer,6.24
Email,7.71
Search,5.93
Influencer,4.10
Display,4.42
Influencer,7.29
Influencer,5.72
Social Media,7.02
Display,2.56
Social Media,2.83
Search,7.60
Social Media,2.08
Email,4.30
Display,6.29
Search,3.06
Search,6.85
Social Media,7.88
Search,7.61
Email,2.96
Influencer,7.68
Email,2.66
Email,4.93
Influencer,5.07
Influencer,2.96
Display,7.86
Search,5.38
Display,6.12
Email,5.77
Search,3.44
Search,4.52
Influencer,6.34
Influencer,4.78
Influencer,6.20
Email,6.60
Email,7.11
Influencer,5.35
Influencer,5.55
Display,5.15
Search,3.17
Influencer,6.32
Email,7.96
Social Media,2.47
Email,2.57
Display,3.64
Display,2.52
Influencer,7.01
Display,6.88
Social Media,6.74
Search,4.55
Social Media,5.88
Influencer,5.71
Email,3.24
Search,7.58
Display,7.32
Search,5.02
Search,4.08
Display,7.43
Influencer,3.66
Influencer,2.03
Email,5.04
Influencer,2.71
Social Media,2.99
Display,4.61
Search,7.95
Email,5.58
Social Media,5.47
Search,7.98
Influencer,3.93
Display,5.45
Display,6.26
Influencer,5.16
Influencer,3.42
Social Media,5.66
Display,7.32
Display,2.05
Social Media,6.59
Search,4.28
Display,3.08
Social Media,2.84
Social Media,6.20
Email,3.45
Display,7.37
Social Media,4.68
Search,2.74
Search,7.00
Email,4.23
Email,3.60
Influencer,7.68
Display,5.06
Influencer,2.84
Influencer,6.35
Display,7.69
Display,3.63
Social Media,5.03
Social Media,6.94
Email,3.85
Social Media,7.49
Influencer,7.17
Email,6.00
Display,3.29
Display,5.41
Email,5.86
Influencer,2.68
Influencer,7.09
Email,7.49
Search,6.99
Influencer,2.25
Social Media,4.16
Display,7.31
Search,2.29
Search,7.26
Search,5.83
Email,6.17
Influencer,5.64
Influencer,6.56
Search,5.93
Social Media,7.48
Email,3.32
Social Media,6.58
Email,2.02
Email,2.55
Search,2.95
Display,5.84
Search,5.67
Display,6.12
Social Media,5.29
Influencer,7.99
Search,3.42
Search,3.66
Search,4.98
Social Media,6.79
Email,2.46
Display,6.12
Social Media,3.41
Email,3.62
Email,6.66
Social Media,3.05
Social Media,4.43
Display,3.78
Display,4.04
Email,3.48
Social Media,5.60
Search,4.91
Display,5.25
Social Media,5.24
Influencer,5.87
Social Media,7.61
Influencer,6.26
Display,3.96
Display,5.84
Influencer,6.56
Display,7.52
Influencer,4.86
Influencer,5.63
Influencer,6.02
Search,7.14
Email,4.85
Social Media,4.82
Search,5.89
Influencer,6.33
Social Media,3.23
Email,2.03
Search,7.51
Influencer,5.49
Email,5.18
Search,2.09
Search,7.83
Social Media,7.65
Influencer,5.66
Social Media,3.90
Display,4.31
Display,5.51
Email,3.48
Influencer,4.46
Email,2.99
Influencer,5.67
Search,3.24
Social Media,7.86
Email,2.25
Influencer,7.07
Search,2.63
Email,7.86
Display,5.87
Email,3.35
Search,3.27
Social Media,2.26
Display,5.44
Display,5.28
Social Media,2.32
Display,2.00
Email,6.18
Email,7.90
Display,5.68
Search,4.64
Email,6.50
Social Media,5.21
Influencer,5.33
Influencer,6.41
Influencer,5.25
Display,5.29
Email,7.01
Search,3.62
Search,5.31
Influencer,2.77
Social Media,2.36
Influencer,5.70
Search,6.21
Influencer,2.66
Search,4.34
Email,3.42
Search,4.57
Social Media,3.65
Display,7.02
Social Media,3.72
Influencer,4.86
Social Media,2.41
Display,3.72
Social Media,6.73
Social Media,6.52
Display,6.71
Display,4.89
Social Media,4.22
Search,2.12
Influencer,3.98
Email,7.58
Display,5.91
Influencer,7.12
Display,6.30
Search,4.02
Search,3.58
Email,3.45
Social Media,4.41
Search,3.91
Search,3.87
Search,5.24
Social Media,4.51
Search,5.45
Email,6.48
Email,5.73
Influencer,2.81
Search,7.41
Social Media,5.18
Email,2.19
Influencer,5.08
Email,4.86
Email,3.34
Influencer,5.74
Influencer,2.88
Email,5.77
Social Media,3.27
Email,3.27
Display,3.31
Display,5.85
Search,3.74
Display,7.40
Email,4.07
Email,7.67
Social Media,4.06
Display,3.70
Search,7.03
Email,6.21
Social Media,2.74
Influencer,6.77
Email,7.91
Influencer,5.97
Email,7.53
Display,6.34
Display,7.78
Display,7.56
Social Media,4.22
Influencer,6.60
Social Media,5.65
Email,2.58
Display,3.13
Search,5.50
Display,3.03
Social Media,6.28
Email,6.12
Search,2.34
Influencer,4.27
Search,5.91
Email,5.99
Search,2.75
Display,3.16
Email,6.96
Email,2.29
Search,3.86
Influencer,3.72
Email,2.66
Display,6.53
Social Media,6.73
Search,4.90
Email,7.26
Influencer,7.53
Email,6.28
Email,6.65
Email,4.56
Influencer,5.45
Social Media,7.00
Social Media,6.64
Display,5.03
Email,4.26
Email,2.39
Display,4.14
Email,4.68
Search,6.76
Email,3.34
Email,4.89
Search,2.27
Email,5.21
Email,7.04
Social Media,5.18
Email,6.12
Email,2.06
Display,5.77
Email,5.93
Influencer,4.15
Social Media,5.23
Email,7.21
Email,4.44
Email,6.94
Email,7.60
Influencer,2.69
Social Media,3.54
Social Media,7.14
Email,6.29
Email,4.06
Social Media,2.04
Search,6.20
Influencer,6.38
Email,5.48
Display,7.58
Search,3.07
Influencer,5.20
Search,6.35
Display,5.80
Social Media,7.90
Social Media,6.15
Influencer,2.97
Search,5.16
Social Media,3.34
Search,2.07
Social Media,7.96
Email,7.22
Influencer,7.84
Influencer,4.62
Email,6.22
Influencer,7.46
Display,5.67
Social Media,3.59
Display,2.93
Display,3.19
Influencer,6.92
Email,2.07
Display,5.49
Search,3.99
Social Media,6.17
Display,4.90
Search,5.70
Email,4.77
Influencer,2.31
Social Media,6.85
Social Media,5.46
Display,5.17
Influencer,7.75
Influencer,2.94
Influencer,4.04
Social Media,2.63
Influencer,6.25
Display,5.42
Influencer,5.14
Display,5.11
Influencer,3.77
Influencer,7.02
Social Media,6.11
Influencer,6.69
Search,4.20
Influencer,6.06
Email,3.24
Social Media,3.46
Social Media,7.22
Social Media,5.82
Email,7.13
Email,6.46
Influencer,6.26
Email,4.93
Social Media,5.85
Email,2.23
Display,4.97
Search,7.44
Search,2.91
Social Media,3.70
Influencer,3.16
Search,2.93
Social Media,5.08
Social Media,6.64
Influencer,7.64
Display,2.16
Display,6.67
Display,7.09
Display,2.37
Email,4.82
Search,3.27
Social Media,2.50
Email,2.43
Email,3.37
Display,2.00
Search,5.39
Search,5.70
Search,2.68
Search,4.88
Influencer,3.61
Influencer,6.24
Influencer,2.54
Search,4.31
Email,6.34
Search,4.86
Influencer,4.49
Influencer,2.71
Social Media,7.16
Search,7.26
Social Media,4.12
Display,4.87
Social Media,7.36
Search,2.98
Search,7.97
Search,6.76
Social Media,4.02
Search,7.32
Display,4.62
Social Media,7.82
Influencer,6.05
Influencer,6.11
Social Media,4.03
Search,5.49
Email,7.55
Display,6.61
Display,6.77
Email,4.66
Email,5.85
Social Media,4.29
Display,4.16
Search,7.48
Email,6.68
Search,3.72
Influencer,4.41
Display,5.16
Display,3.83
Email,4.90
Social Media,3.40
Search,2.55
Social Media,6.50
Display,7.02
Email,5.30
Email,7.95
Display,6.17
Social Media,4.26
Search,4.18
Search,6.33
Influencer,4.72
Social Media,2.58
Influencer,7.48
Search,2.11
Email,7.96
Social Media,7.53
Search,7.81
Email,5.58
Influencer,6.37
Influencer,2.80
Influencer,5.66
Email,5.14
Search,3.75
Search,4.25
Search,5.11
Display,3.83
Social Media,7.21
Email,4.55
Search,6.12
Display,4.72
Influencer,5.06
Search,3.49
Search,5.81
Social Media,5.96
Display,6.04
Social Media,4.79
Social Media,2.15
Email,7.42
Search,6.99
Influencer,3.26
Influencer,4.16
Social Media,4.19
Social Media,3.64
Influencer,5.97
Email,4.68
Display,4.76
Display,4.91
Influencer,4.56
Influencer,2.96
Social Media,7.32
Email,4.13
Display,3.19
Social Media,3.41
Influencer,2.77
Search,7.18
Social Media,5.37
Email,6.39
Display,4.07
Display,4.31
Display,2.74
Email,3.39
Display,4.85
Display,4.48
Email,6.62
Influencer,6.69
Email,4.06
Display,2.78
Social Media,4.44
Social Media,2.08
Email,5.55
Email,5.45
Influencer,7.67
Display,4.26
Display,4.98
Influencer,2.73
Influencer,6.22
Email,7.45
Social Media,7.45
Social Media,5.90
Search,3.60
Social Media,4.16
Search,2.22
Email,2.19
Display,5.91
Social Media,4.71
Email,2.18
Influencer,7.97
Email,2.82
Influencer,7.83
Email,3.59
Influencer,6.28
Display,4.83
Email,6.62
Influencer,3.32
Email,4.38
Social Media,3.48
Email,3.73
Display,2.50
Email,4.40
Influencer,7.42
Email,3.03
Display,3.45
Social Media,6.53
Social Media,5.70
Search,2.11
Email,7.81
Social Media,6.79
Influencer,4.00
Influencer,4.77
Social Media,7.79
Display,5.49
Search,5.52
Email,4.01
Email,7.08
Social Media,6.92
Influencer,4.73
Search,4.50
Display,4.95
Influencer,6.24
Social Media,2.64
Search,6.64
Email,3.29
Social Media,6.49
Email,2.91
Social Media,5.08
Influencer,5.59
Influencer,2.38
Display,6.34
Social Media,2.43
Social Media,5.35
Social Media,3.67
Email,7.06
Display,7.34
Social Media,6.70
Display,4.00
Social Media,6.55
Social Media,7.75
Search,4.71
Search,6.99
Social Media,5.64
Search,5.38
Display,2.65
Influencer,2.62
Display,4.77
Search,3.77
Display,2.71
Email,3.20
Social Media,5.29
Display,3.27
Influencer,2.13
Search,7.23
Display,6.20
Display,3.99
Influencer,3.58
Influencer,7.90
Email,3.41
Social Media,4.67
Search,6.52
Email,6.36
Social Media,4.77
Display,7.20
Email,5.38
Email,4.18
Search,7.99
Email,2.26
Email,2.39
Social Media,5.51
Search,2.59
Display,2.65
Display,5.52
Display,4.61
Search,7.10
Search,3.22
Display,2.91
Display,3.62
Influencer,5.51
Social Media,5.08
Search,4.58
Search,5.12
Display,7.29
Email,4.06
Influencer,2.30
Search,3.17
Search,6.29
Display,6.49
Social Media,5.71
Display,3.23
Email,7.54
Display,3.10
Influencer,5.58
Email,4.87
Email,2.03
Influencer,2.77
Influencer,5.02
Display,3.83
Email,5.08
Influencer,3.92
Email,6.41
Social Media,3.23
Search,4.68
Display,5.18
Email,4.76
Email,2.30
Influencer,6.99
Influencer,2.87
Email,5.32
Search,2.42
Display,6.85
Influencer,4.28
Influencer,4.15
Social Media,6.73
Social Media,5.28
Display,5.12
Search,7.72
Influencer,5.54
Display,2.80
Influencer,5.06
Influencer,6.10
Influencer,7.36
Social Media,5.18
Social Media,6.37
Search,7.81
Search,7.85
Email,7.53
Display,6.69
Display,4.71
Email,3.85
Influencer,2.63
Email,7.80
Search,7.78
Display,5.73
Search,5.41
Search,2.23
Influencer,5.72
Social Media,2.67
Email,2.66
Email,4.97
Search,2.19
Search,4.27
Influencer,2.55
Influencer,7.96
Search,2.49
Email,6.49
Influencer,5.01
Display,3.39
Influencer,3.26
Display,3.84
Influencer,2.75
Social Media,4.50
Search,4.13
Influencer,7.72
Email,5.59
Influencer,5.21
Email,7.16
Influencer,3.18
Search,6.52
Influencer,5.35
Search,6.34
Display,2.43
Influencer,7.42
Influencer,3.48
Email,3.80
Social Media,3.81
Display,7.19
Email,5.46
Influencer,4.97
Email,2.48
Display,7.16
Social Media,6.49
Search,3.25
Social Media,3.65
Influencer,3.38
Influencer,2.54
Search,3.80
Display,5.93
Influencer,7.79
Social Media,7.88
Search,5.71
Search,6.71
Email,6.41
Social Media,4.69
Search,5.31
Influencer,2.68
Display,5.80
Email,2.84
Display,7.03
Social Media,7.12
Display,2.86
Email,7.42
Social Media,5.31
Display,4.34
Email,2.23
Email,6.15
Search,2.59
Social Media,4.77
Influencer,5.09
Social Media,3.40
Influencer,2.84
Display,3.33
Social Media,4.27
Email,5.78
Social Media,2.14
Display,7.63
Influencer,6.64
Email,6.48
Influencer,3.22
Search,5.10
Display,5.70
Influencer,2.83
Influencer,3.84
Email,6.59
Social Media,7.01
Display,4.28
Social Media,5.83
Email,3.96
Email,5.39
Influencer,7.60
Search,3.11
Search,6.91
Email,4.82
Influencer,4.30
Display,5.37
Display,3.64
Display,4.69
Display,5.08
Email,2.87
Display,7.17
Influencer,7.81
Influencer,7.36
Social Media,2.28
Search,5.15
Influencer,6.69
Email,7.60
Display,6.13
Social Media,7.99
Social Media,4.54
Search,2.96
Email,6.03
Search,4.06
Search,5.13
Social Media,7.14
Influencer,5.58
Influencer,3.28
Social Media,3.26
Email,2.43
Email,3.46
Search,5.82
Search,6.80
Email,7.43
Email,5.65
Influencer,4.66
Email,7.56
Display,3.38
Social Media,7.25
Display,2.86
Email,3.50
Social Media,2.66
Influencer,2.70
Social Media,5.29
Email,4.41
Email,5.57
Search,6.33
Influencer,5.50
Social Media,6.22
